name;energy;protein;total_n;fat;Saturated fat;monounsaturated fatty acids;polyunsaturated fatty acids;  kulhydrat, tilgængelig;Kulhydrat, total;  tilsat sukker;  kostfibre;Alkohol;Aske;Vand;A-vitamin;  Retinol;  ß-caroten;D-vitamin;D3 cholecalciferol;D2 ergocalciferol;E-vitamin;  alfa-tokoferol;K-vitamin;B1-vitamin, thiamin;B2-vitamin, riboflavin;Niacin;  niacin;  tryptofans bidrag;B6-vitamin;Pantothensyre;Biotin;Folat;B12-vitamin;C-vitamin;  L-ascorbinsyre;  L-dehydroascorbins.;Natrium, Na;Kalium, K;Calcium, Ca;Magnesium, Mg;Phosphor, P;Jern, Fe;Kobber, Cu;Zink, Zn;Jod, I;Mangan, Mn;Chrom, Cr;Selen, Se;Nikkel, Ni;Fructose;Glucose;Lactose;Maltose;Saccharose;Sukkerarter, ialt;Stivelse;Kostfibre, total (AOAC);C4:0;C6:0;C8:0;C10:0;C12:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C22:0;C24:0;Sum mættede;C14:1, n-5;C16:1, n-7;C18:1, n-9;C18:1, n-7;C20:1, n-11;C22:1, n-9;C22:1, n-11;Sum monoumættede;C18:2, n-6;C18:3, n-3;C18:4, n-3;C20:4, n-6;C20:5, n-3;C22:5, n-3;C22:6, n-3;Sum polyumættede;Sum n-3 fedtsyrer;Sum n-6 fedtsyrer;Transfedtsyrer, total;Cholesterol;Isoleucin;Leucin;Lysin;Methionin;Cystin;Phenylalanin;Tyrosin;Threonin;Tryptofan;Valin;Arginin;Histidin;Alanin;Asparaginsyre;Glutaminsyre;Glycin;Prolin;Serin;C24:1, n-9;Andre fedtsyrer;25-hydroxycholecalciferol
Bream, raw;432;16.7;2.7;4.0;0.8;2.1;0.7;0.0;0.0;0.0;0.0;0.0;1.1;77.0;14.0;14;0;5.5;;;1.3;1.3;0;0.07;0.07;6.50;4;2.50;;;;;;0;;;43;350;63;26;210;0.44;0.028;0.42;7;0.087;5.6;24;10;;;0;;0;0;0;;;;;;0.000;0.113;;0.527;;0.076;;;;0.782;;;;;;;;2.07;0.076;0.094;;;;;;0.737;0.094;0.076;0.000;66;;;;;;;;;;;;;;;;;;;;;
Cheese, Brie, 45 % fidm.;1171;20.8;3.3;22.0;14.2;5.9;0.6;0.2;0.2;0.0;0.0;0.0;3.5;53.1;193;185;95.6;0.229;0.229;;0.554;0.554;0;0.050;0.340;5.21;0.380;4.83;0.235;0.690;6.0;91;1.65;0.0;;;647;108;720;20;370;0.21;0.07;2.38;13.8;0.048;0.25;7;4.96;;;0.09;;;0.090;0;;0.749;0.478;0.312;0.686;0.853;2.43;;6.51;;2.23;;;;14.2;0.312;0.478;4.89;;0.249;;;5.93;0.458;0.166;;;;;;0.624;0.166;0.458;0.944;72;1100;1900;1700;590;75;1100;1100;720;290;1400;650;590;650;1500;4100;420;2200;1200;;;
Cheese, Brie, 50 % fidm.;1369;19.8;3.1;27.8;18.0;7.5;0.8;0.2;0.2;0.0;0.0;0.0;2.7;49.3;246;236;122;0.279;0.279;;0.709;0.709;0;0.050;0.340;4.88;0.380;4.50;0.235;0.690;6.0;90;1.65;0.0;;;700;152;600;20;380;0.21;0.07;2.38;13.8;0.048;0.25;6.42;4.96;;;0.09;;;0.090;0;;0.946;0.604;0.394;0.867;1.08;3.07;;8.22;;2.81;;;;18.0;0.394;0.604;6.17;;0.315;;;7.49;0.578;0.210;;;;;;0.788;0.210;0.578;1.21;92;1100;1800;1600;560;71;1000;1100;680;270;1300;620;560;620;1400;3900;400;2100;1100;;;
Cheese, Brie, 60 % fidm.;1542;17.4;2.7;33.6;21.8;9.0;1.0;0.2;0.2;0.0;0.0;0.0;3.0;45.8;298;286;148;0.326;0.326;;0.857;0.857;0;0.050;0.340;4.38;0.380;4.00;0.235;0.690;6.0;90;1.65;0.0;;;700;152;600;20;380;0.21;0.07;2.38;13.8;0.048;0.25;5.8;4.96;;;0.1;;;0.100;0;;1.14;0.730;0.476;1.05;1.30;3.72;;9.94;;3.40;;;;21.8;0.476;0.730;7.46;;0.381;;;9.05;0.699;0.254;;;;;;0.953;0.254;0.699;1.46;111;950;1600;1400;490;63;900;950;600;240;1200;550;490;550;1200;3400;360;1800;980;;;
Sprat, pickled, canned;879;13.4;2.1;13.0;3.9;5.0;3.1;10.0;10.0;10.0;0.0;0.0;9.6;53.0;390;390;0;14;;;2.31;2.31;0;0.006;0.120;3.43;1.1;2.33;0.175;;;16;3.5;0;;;3606;165;145;18.3;210;1.8;0.16;3.4;30;0.10;2;20;5;;;;;;0;0;;;;;;0.119;0.921;0.108;2.39;;0.323;;;;3.86;;0.957;2.39;;0.585;1.08;;5.01;0.299;;;0.371;1.11;;1.31;3.10;2.42;0.670;0.000;38;710;1100;1100;410;43;580;490;560;140;790;710;300;770;1300;1500;790;540;520;;;
Sprat (sardine), in oil, canned;844;24.6;3.9;11.5;2.2;3.7;4.9;0.0;0.0;0.0;0.0;0.0;3.4;59.6;18.0;18;0;12;;;2.31;2.31;0;0.100;0.170;9.13;5.3;3.83;0.200;0.85;4;16;11.5;0;;;329;353;420;39;450;2.0;0.12;2.2;25;0.15;4.0;35;;0;0;0;0;0;0;0;;;;;;;0.115;0.051;1.60;;0.457;;;;2.23;;0.115;3.55;;0.000;0.000;;3.66;4.58;;;;0.115;;0.229;4.92;0.343;4.58;0.000;38;1100;1700;1700;710;160;980;750;950;230;1300;1400;980;1300;2200;2800;1400;910;980;;;
Sprat (sardine), in tomato sauce, canned;857;15.1;2.4;16.0;4.5;5.9;3.6;0.5;0.5;0.0;0.0;0.0;2.4;66.0;18.0;18;0;12;;;2.3;2.3;0;0.030;0.170;5.63;3.3;2.33;0.15;0.70;4;16;7.8;0;;;461;376;400;37;350;2.4;0.24;2.8;25;;;;;;;;;;0.5;0;;;;;;;0.787;0.079;3.44;;0.234;;;;4.54;;1.55;3.84;;0.285;0.234;;5.90;0.188;0.234;;0.318;1.39;;1.51;3.64;3.13;0.506;0.000;38;730;1100;1300;440;65;580;580;650;140;870;850;510;890;1400;1700;770;560;600;;;
Sprat, raw;674;16.8;2.7;10.5;;;;0.0;0.0;0.0;0.0;0.0;1.2;71.5;150;150;0;0;;;2.5;2.5;0;0.04;0.26;5.00;5.0;;;;;;;0;;;;230;280;20;220;0.7;0.048;1.6;;0.13;1.0;10;2;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000;38;;;;;;;;;;;;;;;;;;;;;
Sweatbread, veal, raw;451;17.8;2.8;4.0;2.1;0.7;0.9;0.0;0.0;0.0;0.0;0.0;1.6;74.0;5.00;5;0;0.25;;;;;0;0.2;0.2;5.40;3;2.40;;;;;;0;;;62.0;339;4;6.2;420;1.5;0.08;1.3;3;0.02;1;6;1;;;0;;0;0;0;;;;;;0.000;0.060;;0.602;;1.28;;;;2.08;;;;;;;;0.741;0.300;0.080;;;;;;0.940;0.080;0.300;;153;;;;;;;;;;;;;;;;;;;;;
Broccoli, frozen;113;2.8;0.5;0.3;0.0;0.0;0.2;1.8;4.8;;3.0;0.0;0.7;91.5;50.8;0;610;;;;1.22;1.22;;0.053;0.096;;;;;;;67;0.00;56.3;53.7;2.6;24;212;56;18;50;0.81;;0.48;;;;2.8;;;;;;;;;;0.000;0.000;0.000;0.000;0.000;0.000;;0.002;;0.000;;;;0.002;;0.000;0.001;;0.000;0.000;;0.001;0.001;0.005;0.000;0.000;0.223;0.000;0.000;0.229;0.228;0.001;;0;;;;;;;;;;;;;;;;;;;;;
Broccoli, boiled;148;2.4;0.4;0.4;0.1;0.0;0.2;3.9;7.2;;3.3;0.0;0.8;89.3;77.4;0;929;;;;1.45;1.45;;0.063;0.123;0.553;0.553;;0.200;;;108;0.00;39.6;37.0;2.6;41;293;40;21;67;0.67;0.061;0.45;;;;1.6;;;;;;;;;;0.000;0.000;0.000;0.000;0.002;0.000;0.000;0.064;0.000;0.015;0.005;0.006;;0.092;0.000;0.010;0.033;;0.000;0.000;;0.043;0.058;0.136;0.000;0.000;0.000;0.000;0.000;0.193;0.136;0.058;;0;27;130;120;34;27;88;;100;27;110;150;53;;;;;;;;;
Broccoli, raw;187;5.3;0.8;0.6;0.1;0.0;0.2;2.9;6.1;0.0;3.2;0.0;1.1;87.8;44.4;0;533;0;;;1.3;1.3;260;0.079;0.115;1.98;1.0;0.983;0.180;1.0;0.5;239;0;121;114;7.7;8;393;44.2;20.7;86.9;0.71;0.07;0.39;0.8;0.58;1.0;0.6;8.6;1.3;0.8;;;0.4;2.50;0;;;;;;;;;;;;;;;0.076;;;;;;;;0.026;;;;;;;;0.217;;;0.000;0;200;280;270;76;59;200;;230;59;250;330;120;;;;;;;;;
Blackberry, frozen, unsweetened;278;1.2;0.2;0.4;;;;13.0;15.7;0.0;2.7;0.0;0.5;82.2;5.50;0;66;0;;;;;;0.029;0.046;1.21;1.21;;0.061;0.151;;34;0.00;3.10;3.1;;1;140;29;22;30;0.80;0.120;0.25;;1.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Blackberry, raw;175;1.4;0.2;1.0;;;;4.7;9.0;0.0;4.3;0.0;0.4;88.2;16.7;0;200;0;;;5.5;5.5;;0.017;0.05;0.700;0.5;0.200;0.05;0.25;0.4;25;0;15.0;15;;2;266;27.0;23;37.0;0.55;0.12;0.53;0.4;0.646;1;0.1;;2.5;2.7;;0.7;0.5;6.40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;12;;;;;;;;;;;;
Torsk, tusk, raw;334;19.0;3.0;0.3;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;1.3;79.4;3.00;3;0;0;;;;;0;0.05;0.15;3.00;3.0;;;;;;;0;;;;;20;;;0.7;;;;;0.7;38.0;0;;;;;;0;0;;;;;;;0.003;;0.024;;0.007;0.000;;;0.034;;0.005;0.026;;0.008;0.003;;0.043;0.001;0.001;0.001;0.002;0.014;0.002;0.037;0.060;0.055;0.003;0.000;;;;;;;;;;;;;;;;;;;;;;
Beans, brown, dried;1313;18.9;3.0;2.0;0.3;0.1;0.8;45.6;63.4;0.0;17.8;0.0;3.4;12.3;1.08;0;13;0;;;0.34;0.34;170;0.35;0.14;6.00;2.0;4.00;0.415;0.5;0.5;140;0;0;;;8;1327;77.3;131;477;5.0;0.5;2;1.9;2;11.4;8.8;273;;;;;;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000;0;880;1300;1400;170;120;940;420;790;240;1900;910;480;730;230;2500;700;700;1200;;;
Lentils, brown, dried, raw;1422;25.1;4.0;2.0;;;;48.9;60.1;;11.2;0.0;2.6;10.2;;;;;;;;;;;;;;;;;;;;;;;;;70.1;;373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Watercress, raw;61;1.7;0.3;0.2;0.0;0.0;0.0;0.9;2.1;0.0;1.2;0.0;0.9;94.1;334;0;4010;0;;;1.0;1.0;;0.10;0.10;0.967;0.6;0.367;0.13;0.10;0.4;9;0;60;;;60;310;82.8;17;68.3;1.6;0.14;0.2;13.5;0.5;;;;;;;;;0.6;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;68;120;98;15;5;84;46;98;22;100;110;30;100;140;140;82;71;44;;;
Pudding powder;1478;0.3;0.0;0.0;0.0;0.0;0.0;85.9;87.5;0.0;1.6;0.0;0.1;12.1;0.000;0;0;0;;;0;;;0;0;0.067;0;0.067;0;;;;0;0;;;1;6;10;4;;0.2;;;0.5;0.9;;0;;;;;;;0.6;85.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;4;;;;;;;;;;;;
Wheat, cracked kernels, parboiled (bulgur), raw;1503;10.8;1.9;2.3;0.3;0.2;1.0;69.0;76.7;0.0;7.7;0.0;1.1;9.1;0.000;0;0;0;;;1.4;1.4;30;0.232;0.115;2.00;5.11;2.00;0.355;1.1;1.9;21;0;0.0;;;17;410;33.5;116;270;2.46;0.32;2.8;2.7;3.6;1.2;4.1;29;0;0;;0;0.54;0.540;61.4;;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.283;0.000;0.016;0.012;0.000;;0.311;0.000;0.007;0.235;;0.005;0.000;;0.248;0.915;0.064;;0.004;0.000;0.000;0.000;0.982;0.064;0.919;;0;460;820;270;170;190;570;250;300;120;530;420;250;360;470;3700;400;1300;570;;;
Barley groats, raw;1467;9.2;1.6;2.4;0.4;0.2;1.1;67.4;76.9;0.0;9.5;0.0;1.0;10.0;0.000;0;0;0;;;0.25;0.25;;0.16;0.075;2.00;5.5;2.00;0.30;0.5;;34;0;0;;;3.5;329;26.5;67;246;2.4;0.12;1.31;0.5;1.3;1.3;2.3;53;0;0;;0;0;0;62.2;;0.000;0.000;0.000;0.000;0.000;0.007;0.000;0.408;0.000;0.012;0.000;0.000;;0.427;0.000;0.002;0.204;;0.000;0.000;;0.206;0.991;0.105;;0.000;0.000;0.000;0.000;1.10;0.105;0.991;;0;410;740;350;160;190;540;270;330;120;570;440;240;410;540;2400;360;1200;480;;;
Barley flour, raw;1423;9.2;1.6;3.0;0.5;0.3;1.4;64.4;72.0;0.0;7.6;0.0;1.5;14.0;0.000;0;0;0;;;0.25;0.25;;0.33;0.11;2.00;5.7;2.00;0.33;;;;0;0;;;2.5;360;23;89;300;4.5;0.56;2.8;5;1.6;2;1;10;;;0;;0;15.8;56;;0.000;0.000;0.000;0.000;0.000;0.009;0.000;0.509;0.000;0.015;0.000;0.000;;0.533;0.000;0.002;0.255;;0.000;0.000;;0.257;1.24;0.132;;0.000;0.000;0.000;0.000;1.37;0.132;1.24;;0;410;740;350;160;190;540;270;330;120;570;440;240;410;540;2400;360;1200;470;;;
Charr, fillet, smoked;884;29.6;4.7;10.3;;;;0.0;0.0;0.0;0.0;0.0;7.4;54.6;0.000;;0;9;;;;;0;;;;;;;;;;;0;;;2340;460;25;30;300;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000;48;;;;;;;;;;;;;;;;;;;;;
Charr, raw;448;20.5;3.3;2.7;;;;0.0;0.0;0.0;0.0;0.0;1.2;77.6;0.000;;0;9;;;;;0;0.16;0.09;;;;0.368;;;;;0;;;80;370;;30;260;0.75;;0.67;;;1.3;16.0;0;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000;48;;;;;;;;;;;;;;;;;;;;;
Bean, adzuki, sprouted, raw;568;10.0;1.6;1.0;;;;18.8;24.0;0.0;5.2;0.0;0.8;64.2;0.000;0;;0;;;;;;;;;;;;;;100;0;;;;;;44.3;;174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Bean sprouts, mung, raw;142;3.0;0.5;0.2;0.1;0.0;0.1;4.1;5.9;0.0;1.8;0.0;0.4;90.4;1.00;0;12;0;;;;;33;0.084;0.124;1.37;0.749;0.617;0.088;0.380;;100;0.00;13.2;13.2;;6;149;25.8;21;100;0.91;0.164;0.41;;0.188;;;;;;;;;;;;0.000;0.000;0.000;0.000;0.000;0.000;;0.035;;0.009;;;;0.051;;0.000;0.024;;0.000;0.000;;0.024;0.046;0.018;0.000;0.000;0.000;0.000;0.000;0.064;0.018;0.046;;0;130;180;170;34;17;120;53;78;37;130;200;68;97;480;160;63;;33;;;
Beansprouts, soy, canned;72;1.6;0.3;0.2;;;;0.8;3.8;0.0;3.0;0.0;0.6;95.4;0.000;0;0;0;;;0.09;0.09;;0.02;0.03;0.500;0.2;0.300;0.03;0;0;42;0;1;;;600;36;13;10;20;1.0;0.09;0.8;;;;;;;;;;;0.4;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;18;;;;;;;;;;;;
Beansprouts, soy, raw;240;6.2;1.0;1.4;;;;4.5;5.3;0.0;0.8;0.0;0.8;86.3;4.00;0;48;0;;;0.09;0.09;;0.340;0.118;2.40;1.15;1.25;0.03;0;0;100;0;15.3;;;30;36;67;10;164;2.10;0.09;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;280;450;360;65;74;310;230;240;75;300;430;170;260;840;930;240;320;310;;;
Bean sprouts, average values, raw;135;3.0;0.5;0.3;0.1;0.0;0.1;3.7;4.9;0.0;1.2;0.0;0.4;90.0;2.67;0;32;0;;;;;33;0.084;0.124;1.35;0.749;0.600;0.081;0.380;;100;0;13.2;13.2;;6;149;25.8;21;100;0.91;0.164;0.41;;0.188;;;29.1;;;;;;;;;;;;;;0.000;;0.047;;0.012;;;;0.068;;;0.032;;;;;0.032;0.061;0.024;;;;;;0.085;0.023;0.062;;0;130;170;160;34;17;120;53;77;36;130;200;67;96;470;160;62;;33;;;
Cocoa, instant, med milk, powder;1558;16.2;2.6;3.4;2.0;1.1;0.1;64.7;71.8;70.3;7.1;0.0;5.0;3.6;0.000;0;0;0;;;0.1;0.1;0;0.06;0.04;4.50;0.5;4.00;0.02;0.893;;23;0;0;;;270;1470;33;155;190;7;1.1;1.9;30;0.77;14;1.5;;0;0;;;70.3;70.3;3.3;;0.000;0.000;0.000;0.000;0.000;0.017;0.000;0.865;0.000;1.09;0.029;0.000;;2.00;0.000;0.000;1.13;;0.000;0.000;;1.13;0.102;0.000;;0.000;0.000;0.000;0.000;0.102;0.000;0.102;;0;560;880;580;240;300;650;440;580;240;860;1000;240;670;1500;2500;650;860;860;;;
Cocoa, instant, without milk, powder;1663;5.3;0.8;3.8;2.2;1.3;0.1;81.5;87.4;70.3;5.9;0.0;2.4;1.3;0.000;0;0;0;;;0.1;0.1;0;0.06;0.04;1.83;0.5;1.33;0.02;0.041;;23;0;0;;;217;842;33;133;190;7;0.84;2.3;1.2;0.77;78;1.5;200;0;0;;;70.3;70.3;3.3;;0.000;0.000;0.000;0.000;0.000;0.019;0.000;0.967;0.000;1.22;0.032;0.000;;2.24;0.000;0.000;1.26;;0.000;0.000;;1.26;0.114;0.000;;0.000;0.000;0.000;0.000;0.114;0.000;0.114;;0;180;290;190;80;98;210;140;190;80;280;340;80;220;480;820;210;280;280;;;
Cocoa, powder;1686;22.5;3.6;21.9;12.9;7.3;0.6;17.7;41.7;0.0;24.0;0.0;8.9;5.1;3.33;0;40;0;;;0.2;0.2;0;0.10;0.15;5.67;2.0;3.67;0.07;;;41;0;0;;;35;3490;105;523;660;11;3.6;10.1;2.8;2.5;173;14.3;855;;;;;;0;10.5;;0.000;0.000;0.000;0.000;0.000;0.000;0.000;5.48;0.000;7.22;0.188;0.000;;12.9;0.000;0.000;7.28;;0.000;0.000;;7.28;0.628;0.000;;0.000;0.000;0.000;0.000;0.628;0.000;0.628;0.000;0;680;1000;760;210;210;760;540;720;220;1100;1100;290;830;1700;2800;760;860;900;;;
Milk, with chocolate, partly skimmed, 1.5 % fat;295;3.7;0.6;1.8;1.1;0.5;0.1;9.5;10.0;4.5;0.5;0.0;0.7;83.8;16.0;15.3;7.92;0.083;0.083;;0.046;0.046;0;0.037;0.162;0.978;0.145;0.833;0.03;0.34;1.4;3.2;0.08;0;;;48.0;188;112;18.8;95;0.35;0.15;0.48;24.3;0.01;0.052;1.37;17.3;0;0;4.17;0;4.51;8.68;0;;0.060;0.038;0.026;0.055;0.069;0.196;;0.523;;0.179;0.000;;;1.15;0.026;0.038;0.393;;0.020;;;0.477;0.036;0.014;;;;;;0.050;0.014;0.036;0.078;7;220;350;330;93;28;190;160;160;50;260;130;100;120;300;750;75;360;210;;;
Milk, with chocolate, partly skimmed, 1.5 % fat (UHT);293;3.6;0.6;1.7;1.1;0.5;0.0;9.7;10.2;5.1;0.5;0.0;0.7;83.8;15.1;14.5;7.48;0.082;0.082;;0.043;0.043;0;0.037;0.162;0.962;0.145;0.817;0.03;0.34;1.4;3.2;0.08;0;;;44.1;212;115;21.3;97;0.35;0.15;0.49;24.3;0.01;0.052;1.3;17.3;0;0;4.29;0;5.06;9.35;0;;0.058;0.037;0.024;0.053;0.066;0.188;;0.503;;0.172;0.000;;;1.10;0.024;0.037;0.378;;0.019;;;0.458;0.035;0.013;;;;;;0.048;0.013;0.035;0.074;7;210;340;320;90;28;180;150;150;49;250;120;100;120;290;730;73;350;200;;;